id,name,latitude,longitude,price
2515,Stay at Chez Chic budget room #1,40.7992047994,-73.9536757454,59
2539,Clean & quiet apt home by the park,40.6474860817,-73.9723695401,39
2595,Skylit Midtown Castle,40.7536207266,-73.9837738111,225
3330,++ Brooklyn Penthouse Guestroom ++,40.7085577833,-73.9423622764,70
3647,THE VILLAGE OF HARLEM....NEW YORK !,40.8090178491,-73.9419020804,150
3831,Cozy Entire Floor of Brownstone,40.6851377056,-73.9597574988,89
4989,Available! Perfect location! Entire apartment!,40.762600473,-73.9930449934,150
5054,Midtown West,40.7655085919,-73.986312802,150
5121,BlissArtsSpace!,40.6868819649,-73.9559570862,60
5136,Spacious Brooklyn Duplex + Garden,40.6611965628,-73.9942267741,253
5172,Quiet Slice of Manhattan,40.7449576802,-73.9742009976,129
5178,Large Furnished Room Near B'way ,40.764887103,-73.9849298528,79
5203,Cozy Clean Guest Room - Family Apt,40.8017793033,-73.9672294587,79
5238,Cute & Cozy Lower East Side 1 bdrm,40.7134437872,-73.9903746775,120
5295,Beautiful 1br on Upper West Side,40.8031581111,-73.965446454,135
5435,Upper West Side-Unique One Bedroom,40.8015501184,-73.9700007582,145
5441,Central Manhattan/near Broadway,40.760759874,-73.9886665457,126
5803,"Lovely Room 1, Garden, Best Area, Legal rental",40.6682902529,-73.9877909263,82
5945,Airy Room on the fabulous UWS ,40.7910461385,-73.9743445958,110
6090,West Village Nest,40.7353046774,-74.0052465913,175
6848,Only 2 stops to Manhattan studio,40.7083719867,-73.9535186885,140
6990,UES Beautiful Blue Room / Oak Room,40.7896241337,-73.9480201639,95
7097,Perfect for Your Parents + Garden,40.6916854446,-73.9718454939,215
7241,"Adorable, tons of light, Meatpacking",40.7390839452,-74.0038505034,144
7322,Chelsea Perfect,40.746873171,-74.0059519953,120
7801,Sweet and Spacious Brooklyn Loft,40.7184176022,-73.9571834326,299
7816,UWS Garden Getaway,40.7881895952,-73.9682204964,225
8024,CBG CtyBGd HelpsHaiti rm#1:1-4,40.680693983,-73.9770584966,130
8025,CBG Helps Haiti Room#2.5,40.6798949255,-73.977975799,110
8110,CBG Helps Haiti Rm #2,40.6800062918,-73.9786450822,110
8225,Stay at Chez Chic budget Room #2,40.7990341242,-73.9540629543,49
8343,"3BR, 1.5 BA East Village apt w/yard",40.7248081716,-73.9805652509,350
8490,"MAISON DES SIRENES1,bohemian apartment",40.683710749,-73.9402777424,120
9123,Clean East Village Studio,40.7250778097,-73.9836850739,135
9357,Midtown Pied-a-terre,40.7671538483,-73.9853290716,150
9518,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",40.8648167593,-73.921055413,44
9657,Modern 1 BR / NYC / EAST VILLAGE,40.7291982168,-73.9854152604,180
9668,front room/double bed,40.8224516257,-73.9510364278,50
9704,Spacious 1 bedroom in luxe building,40.8130526342,-73.954661682,52
9782,Loft in Williamsburg Area w/ Roof,40.7221931734,-73.9376194204,55
9783,back room/bunk beds,40.8213017961,-73.953183408,50
10452,Large B&B Style rooms,40.6831031535,-73.9547305323,60
10962,"Lovely room 2 & garden; Best area, Legal rental",40.6686925351,-73.9877983118,82
11708,Cute apt in artist's home,40.701856186,-73.9274497914,85
11900,Stay at The Brooklyn Apartment!,40.6901772444,-73.9522233678,140
11943,Country space in the city,40.6370231639,-73.9632722759,150
12048,LowerEastSide apt share shortterm 1,40.7140091302,-73.9891714902,35
12192,ENJOY Downtown NYC!,40.7229012276,-73.9819903873,65
12299,Beautiful Sunny Park Slope Brooklyn,40.6627787479,-73.979660031,120
12303,1bdr w private bath. in lofty apt,40.6967309453,-73.9758385907,120
12318,West Side Retreat,40.7900937466,-73.9792693239,135
12382,BROWNSTONE - 3 BEDROOM APT,40.6761083666,-73.9422695264,108
12579,Beautiful Clinton Hill Brownstone,40.684740001,-73.9668223581,380
12627,Entire apartment in central Brooklyn neighborhood.,40.6594353345,-73.9623802641,150
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",40.7477081911,-73.9473954798,130
12940,Charming Brownstone 3 - Near PRATT,40.6811122414,-73.9559110368,110
13050,bright and stylish duplex,40.6855422591,-73.9409022274,115
13076,Beautiful and Huge Sunny Apartment,40.6750451314,-73.9643663875,110
13121,Right on Budget,40.6711699217,-73.765764282,68
13394,Fort Greene brownstone ,40.6914244883,-73.9737576437,80
13414,Cat Lover Bargain in Heart of Williamsburg,40.7178650789,-73.9590772492,40
13536,Room N3 in One family house,40.6614390673,-73.9469512702,50
13552,Cute Cozy Studio in Manhattan,40.7789758339,-73.9817143115,120
13808,Blue Room for 2 in Brownstone for $1350 monthly,40.6804255577,-73.9393366515,80
14287,Cozy 1BD on Central Park West in New York City,40.7863519992,-73.9700819713,170
14290,* ORIGINAL BROOKLYN LOFT *,40.7042019433,-73.9355968158,174
14314,Greenpoint Place...Has It All! ,40.735060823,-73.9539233806,144
14322,Beautiful Apartment in Manhattan!!!,40.7396124191,-73.9807431832,200
