index,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,Safety
37120,20033323,The Manhattan Duplex Oasis,94877519,Joseph,Manhattan,Harlem,40.82804744,-73.95201735,Entire home/apt,50,3,14,1/1/2018,2.05,4,321,5
37752,20277286,Cosy and very central room in Chinatown/Nolita!,3742692,Elif,Manhattan,Chinatown,40.71706466,-73.99426628,Private room,50,3,1,2/6/2018,1,1,2,5
37883,20326257,Studio in the Heart of the East Village,10947591,Laura,Manhattan,East Village,40.72649937,-73.99058667,Entire home/apt,50,4,4,12/31/2017,0.7,1,28,5
38154,20455626,Brand New and High Tech Apartment in LES,17426175,Eric,Manhattan,Lower East Side,40.71769246,-73.98559547,Entire home/apt,50,4,1,12/25/2017,0.43,2,0,5
38451,20570245,Luxury Fifth Ave. 2Bdrm Apartment,9037281,Frankie,Manhattan,Midtown,40.74724174,-73.98745714,Entire home/apt,50,3,16,2/24/2018,2.7,1,251,5
38827,20688624,Luxury Alcove Studio in Chelsea,979144,Ryan,Manhattan,Chelsea,40.74418742,-73.99912502,Entire home/apt,50,1,20,2/18/2018,3.3,1,55,5
40111,21113628,403_Room next to Times Square and Central Park,48181316,Vale,Manhattan,Hell's Kitchen,40.76127389,-73.9879347,Private room,50,1,17,1/21/2018,3.21,6,17,5
40591,21251256,"Room 2B in Guesthouse, Manhattan",7831209,Bobi,Manhattan,East Harlem,40.8068048,-73.93931821,Private room,50,1,14,1/6/2018,2.92,9,61,5
40992,21369333,Beautiful and sunny EV 1 bedroom,6253735,Carli,Manhattan,East Village,40.72483691,-73.98710031,Entire home/apt,50,2,3,12/4/2017,0.71,1,364,5
41574,21518548,Earthy and stylish in Alphabet City,1624450,Devika,Manhattan,East Village,40.72755449,-73.97913118,Entire home/apt,50,14,0,,,1,83,5
41093,21394627,brooklyn prospect park,279067,Manami,Brooklyn,Prospect-Lefferts Gardens,40.65515571,-73.95995935,Private room,50,1,0,,,1,364,4
30021,16579094,Luggage Depot CLOSE TO JFK/LGA/CitiFIELD/Manhattan,21216008,Jose,Queens,Jackson Heights,40.75024399,-73.87792595,Shared room,50,1,4,1/30/2018,0.94,4,356,3
33781,18750597,"Huge Brooklyn Brownstone Living, Close to it all.",8993084,Kimberly,Brooklyn,Bedford-Stuyvesant,40.69023321,-73.95428281,Private room,50,2,1,1/6/2018,0.52,4,95,3
37912,20333471,Hostel Style Room | Ideal Traveling Buddies,131697576,Anisha,Bronx,East Morrisania,40.83296485,-73.88667694,Private room,50,2,9,2/4/2018,1.75,4,159,3
38008,20395608,??Warm NYC Getaway ??| Walk/Transit Score 85+ |,131697576,Anisha,Bronx,East Morrisania,40.83243079,-73.8860798,Private room,50,2,22,2/3/2018,3.22,4,178,3
38028,20405662,Bright Private Room,8290783,Christina,Queens,Ridgewood,40.69847036,-73.90009101,Private room,50,1,8,1/12/2018,1.22,2,0,3
38110,20436836,1 Bedroom in Bushwick,33286735,Courtney,Brooklyn,Bushwick,40.70648544,-73.91899256,Private room,50,1,0,,,1,3,3
38249,20492482,Home Base!,8518665,Kevin,Brooklyn,Bedford-Stuyvesant,40.69392309,-73.95443321,Private room,50,1,18,1/2/2018,2.81,4,175,3
38327,20523843,"MARTIAL LOFT 3: REDEMPTION (upstairs, 2nd room)",15787004,Martial Loft,Brooklyn,Bushwick,40.69467152,-73.92433134,Private room,50,2,6,1/20/2018,0.98,4,246,3
38506,20586622,2 br apt|Brooklyn|2 min subway|for 6 ppl| new,115240057,Denis,Brooklyn,Bushwick,40.7014526,-73.91614458,Entire home/apt,50,3,1,10/15/2017,0.21,4,131,3
38572,20607108,Convenient Fun Space Walk to Central Park (UES),62795187,Haruki,Manhattan,Upper East Side,40.77308806,-73.95670291,Shared room,50,3,25,2/17/2018,4.63,3,54,3
38675,20639628,Spacious comfortable master bedroom with nice view,86327101,Adeyemi,Brooklyn,Bedford-Stuyvesant,40.68172663,-73.91341687,Private room,50,1,18,2/18/2018,3.38,6,138,3
38676,20639792,Contemporary bedroom in brownstone with nice view,86327101,Adeyemi,Brooklyn,Bedford-Stuyvesant,40.68279016,-73.91169719,Private room,50,1,28,3/1/2018,5.25,6,141,3
38677,20639914,Cozy yet spacious private brownstone bedroom,86327101,Adeyemi,Brooklyn,Bedford-Stuyvesant,40.68258344,-73.91284497,Private room,50,1,19,2/11/2018,3.5,6,152,3
38948,20728112,Beautiful bedroom w/private garden in Brooklyn,128605205,Tom,Brooklyn,Bedford-Stuyvesant,40.68749172,-73.95178431,Private room,50,2,8,1/1/2018,1.33,1,0,3
39535,20933849,Midtown East Studio - quiet & close to everything,13709292,Qiuchi,Manhattan,Midtown,40.75532627,-73.96602819,Entire home/apt,50,3,0,,,1,362,3
40726,21291569,Coliving in Brooklyn! Modern design / Shared room,101970559,Erik,Brooklyn,Bushwick,40.69211104,-73.90670474,Shared room,50,15,1,1/3/2018,0.49,4,357,3
40773,21304320,Best Coliving space ever! Shared room.,101970559,Erik,Brooklyn,Bushwick,40.69165583,-73.90927571,Shared room,50,15,1,12/16/2017,0.37,4,351,3
33375,18572271,Private bedroom in 2 bed 2 bath UWS,6726364,Alejandra,Manhattan,Upper West Side,40.80061764,-73.96168689,Private room,50,3,1,8/7/2017,0.14,2,0,2
37615,20224936,Gorgeous Working Studio with Loft Bedroom,35894876,Kristin,Brooklyn,Greenpoint,40.7250538,-73.94448812,Entire home/apt,50,2,4,10/3/2017,0.61,1,365,2
37794,20286627,Simple room in Williamsburg II,2307055,Norman,Brooklyn,Williamsburg,40.71590236,-73.93723792,Private room,50,1,3,11/24/2017,0.44,1,184,2
38529,20591509,Garden Light,127756959,Lawrence & Patrice,Brooklyn,East Flatbush,40.63972162,-73.93234083,Private room,50,3,6,11/16/2017,0.95,2,364,2
38632,20624541,Modern apartment in the heart of Williamsburg,10132166,Aymeric,Brooklyn,Williamsburg,40.70838179,-73.94645149,Entire home/apt,50,5,3,1/2/2018,0.8,1,72,2
38823,20686134,Hideaway Studio,14469743,Brian,Bronx,Pelham Bay,40.84710777,-73.83039167,Entire home/apt,50,2,19,2/11/2018,3.54,1,34,2
38966,20738762,Light field designer apartment,9326099,Adi,Brooklyn,Williamsburg,40.71913496,-73.95440494,Entire home/apt,50,2,2,1/1/2018,0.47,1,72,2
40177,21138538,Lavish 2 BR minutes from Central Park!,149977050,Igor,Manhattan,Upper West Side,40.78631184,-73.97751858,Entire home/apt,50,2,3,1/1/2018,0.8,1,343,2
40871,21331808,Surfers Paradise - 170 Frost,536745,Johnny,Brooklyn,Williamsburg,40.71684109,-73.94366328,Private room,50,2,3,1/5/2018,0.67,3,82,2
38378,20542510,Room 1 Private Lower Level Getaway w/ Window  (Lower Level 1),104927746,Amardeep,Staten Island,Concord,40.59668507,-74.08644931,Private room,50,1,12,2/25/2018,2.31,4,347,1
38505,20586405,Rockaway beach Private room,51524470,Ola,Queens,Arverne,40.59248596,-73.78846416,Private room,50,1,3,9/28/2017,0.49,6,229,1
38510,20587378,Enormous Private Bedroom by the beach,51524470,Ola,Queens,Arverne,40.59115588,-73.78910302,Private room,50,1,3,12/2/2017,0.49,6,184,1
38513,20587645,Quiet and Comfy Room by the Beach,51524470,Ola,Queens,Arverne,40.5910023,-73.79005903,Private room,50,3,2,1/2/2018,0.83,6,180,1
39585,20954681,"Large bedroom, near subway, 20 min to Manhattan!",73456844,Lilian,Queens,Forest Hills,40.72217042,-73.84422454,Private room,50,3,3,10/20/2017,0.53,1,67,1
