Date,Time,Classification_Code,Crime_Cat,Cat_Num,Latitude,Longitude
4/10/2017,0:30:00,353,MISDEMEANOR,2,40.632058,-73.896861
2/12/2017,2:30:00,105,FELONY,0,40.765066196,-73.996561142
1/18/2017,1:25:00,361,MISDEMEANOR,2,40.738052585,-73.916803573
1/8/2017,16:30:00,352,MISDEMEANOR,2,40.682097528,-74.006282199
3/22/2017,10:20:00,109,FELONY,0,40.707538782,-74.00639641
1/14/2017,0:30:00,361,MISDEMEANOR,2,40.839312083,-73.875094178
9/16/2017,15:30:00,113,FELONY,0,40.803050334,-73.949024785
7/28/2017,23:37:00,578,VIOLATION,1,40.846606943,-73.887886316
5/9/2017,10:00:00,361,MISDEMEANOR,2,40.665768566,-73.908805
5/13/2017,20:00:00,578,VIOLATION,1,40.692012944,-73.821225633
1/10/2017,12:10:00,361,MISDEMEANOR,2,40.531673537,-74.219455623
3/10/2017,14:00:00,348,MISDEMEANOR,2,40.738513268,-73.991799243
1/6/2017,18:45:00,351,MISDEMEANOR,2,40.65690638,-73.885091156
4/22/2017,21:45:00,578,VIOLATION,1,40.667672093,-73.790254287
7/1/2017,20:00:00,109,FELONY,0,40.877054254,-73.900216363
1/14/2017,23:00:00,107,FELONY,0,40.662518015,-73.927011804
9/20/2017,17:30:00,348,MISDEMEANOR,2,40.731696979,-73.982317815
9/5/2017,23:00:00,344,MISDEMEANOR,2,40.890170084,-73.842610405
2/4/2017,13:00:00,126,FELONY,0,40.677781508,-73.935860415
1/20/2017,5:45:00,341,MISDEMEANOR,2,40.78689986,-73.807974263
2/21/2017,14:30:00,121,FELONY,0,40.764813576,-73.994023352
3/9/2017,19:52:00,578,VIOLATION,1,40.875496771,-73.881491568
5/21/2017,22:30:00,342,MISDEMEANOR,2,40.696761685,-73.84007016
6/6/2017,13:55:00,361,MISDEMEANOR,2,40.847931977,-73.916199883
9/30/2017,7:00:00,578,VIOLATION,1,40.664416386,-73.891022091
6/19/2017,2:45:00,344,MISDEMEANOR,2,40.82828654,-73.907032114
6/24/2017,13:00:00,341,MISDEMEANOR,2,40.781662782,-73.834439086
8/22/2017,20:00:00,578,VIOLATION,1,40.810684318,-73.917413602
9/14/2017,21:08:00,341,MISDEMEANOR,2,40.762069525,-73.92974364
8/30/2017,21:00:00,341,MISDEMEANOR,2,40.598161532,-73.962569542
9/5/2017,17:56:00,341,MISDEMEANOR,2,40.881261603,-73.903128392
2/20/2017,15:00:00,341,MISDEMEANOR,2,40.735043882,-73.862025325
2/23/2017,12:45:00,344,MISDEMEANOR,2,40.640071884,-73.955202683
8/23/2017,8:50:00,578,VIOLATION,1,40.737203099,-73.983272598
6/20/2017,21:05:00,344,MISDEMEANOR,2,40.71452952,-73.990990564
1/6/2017,22:25:00,118,FELONY,0,40.693329908,-73.791543893
9/2/2017,2:00:00,110,FELONY,0,40.683464046,-73.955032918
10/8/2016,9:00:00,109,FELONY,0,40.800650386,-73.969278581
3/31/2017,18:25:00,341,MISDEMEANOR,2,40.766508632,-73.982362725
7/17/2017,23:48:00,118,FELONY,0,40.805996404,-73.92145063
6/3/2017,1:50:00,344,MISDEMEANOR,2,40.767128544,-73.897417172
1/8/2017,9:05:00,126,FELONY,0,40.791151867,-73.884371919
2/23/2017,4:35:00,341,MISDEMEANOR,2,40.699235227,-73.753333403
6/10/2017,10:35:00,344,MISDEMEANOR,2,40.686116627,-73.784099011
1/27/2017,13:50:00,341,MISDEMEANOR,2,40.793217107,-73.967274016
6/23/2017,15:45:00,341,MISDEMEANOR,2,40.74759008,-73.884396999
3/29/2017,21:15:00,348,MISDEMEANOR,2,40.679227833,-73.904049189
3/6/2017,16:40:00,341,MISDEMEANOR,2,40.688604586,-73.985073283
8/30/2017,7:40:00,341,MISDEMEANOR,2,40.873632243,-73.856534512
7/27/2017,21:00:00,578,VIOLATION,1,40.587915586,-73.955936146
8/29/2017,17:30:00,236,MISDEMEANOR,2,40.804384046,-73.937421669
9/16/2017,12:13:00,107,FELONY,0,40.871231333,-73.840348386
2/14/2017,12:20:00,361,MISDEMEANOR,2,40.636816592,-74.080118607
6/30/2017,17:15:00,578,VIOLATION,1,40.574169725,-73.995141899
4/3/2017,18:15:00,351,MISDEMEANOR,2,40.631749112,-73.927232798
9/1/2017,16:00:00,351,MISDEMEANOR,2,40.857924499,-73.89195221
5/9/2017,22:00:00,109,FELONY,0,40.763132943,-73.873338244
6/1/2017,19:40:00,341,MISDEMEANOR,2,40.76068323,-73.976444296
2/24/2017,14:10:00,235,MISDEMEANOR,2,40.832633767,-73.925365282
3/30/2017,12:30:00,106,FELONY,0,40.690191121,-73.745740303
2/5/2017,2:41:00,121,FELONY,0,40.790006885,-73.947918871
5/21/2017,22:00:00,109,FELONY,0,40.731714801,-74.000957613
3/5/2017,4:35:00,347,MISDEMEANOR,2,40.742617378,-73.893766757
1/28/2017,0:10:00,107,FELONY,0,40.791594778,-73.966599479
6/26/2017,17:00:00,341,MISDEMEANOR,2,40.797634875,-73.963140011
2/18/2017,1:45:00,578,VIOLATION,1,40.707934228,-73.928931436
6/14/2017,8:00:00,112,FELONY,0,40.627868312,-73.948099429
4/1/2017,14:30:00,578,VIOLATION,1,40.802336853,-73.949357635
8/27/2017,0:30:00,106,FELONY,0,40.757396067,-73.982256851
6/15/2017,16:00:00,341,MISDEMEANOR,2,40.777986747,-73.917988533
2/24/2017,7:45:00,238,MISDEMEANOR,2,40.800561814,-73.958197308
3/20/2017,18:57:00,126,FELONY,0,40.663836759,-73.938544756
6/10/2017,17:10:00,578,VIOLATION,1,40.837722094,-73.920697617
9/18/2017,3:30:00,344,MISDEMEANOR,2,40.704221784,-73.914580797
5/13/2017,11:30:00,341,MISDEMEANOR,2,40.734645797,-73.99033113
4/19/2017,7:00:00,107,FELONY,0,40.822262072,-73.940537398
3/13/2017,18:45:00,352,MISDEMEANOR,2,40.671110834,-73.913563363
5/19/2017,21:35:00,351,MISDEMEANOR,2,40.839810529,-73.928660458
4/22/2017,2:00:00,344,MISDEMEANOR,2,40.865658464,-73.891310558
6/24/2017,14:15:00,578,VIOLATION,1,40.718452128,-73.998753269
9/19/2017,23:00:00,107,FELONY,0,40.75473732,-73.989757926
2/19/2017,19:30:00,341,MISDEMEANOR,2,40.806282102,-73.91409944
9/26/2017,1:45:00,578,VIOLATION,1,40.638243279,-74.015667786
7/25/2017,14:40:00,341,MISDEMEANOR,2,40.82804069,-73.840423109
7/27/2017,18:00:00,341,MISDEMEANOR,2,40.7380024,-73.98789129
1/7/2017,13:40:00,578,VIOLATION,1,40.74857333,-73.976066015
3/23/2017,16:50:00,109,FELONY,0,40.750430768,-73.989282176
5/26/2017,4:00:00,361,MISDEMEANOR,2,40.707569832,-73.966720928
4/25/2017,16:57:00,112,FELONY,0,40.730639403,-73.740166564
8/12/2017,8:50:00,105,FELONY,0,40.855322095,-73.885811145
2/25/2017,8:00:00,351,MISDEMEANOR,2,40.837392476,-73.916451675
5/7/2017,9:00:00,344,MISDEMEANOR,2,40.882156972,-73.831914159
4/11/2017,10:00:00,351,MISDEMEANOR,2,40.831238127,-73.942177162
7/3/2017,22:30:00,121,FELONY,0,40.617342969,-74.168376421
5/25/2017,12:40:00,341,MISDEMEANOR,2,40.680578256,-73.952464212
3/9/2017,16:15:00,105,FELONY,0,40.827819901,-73.925930756
6/26/2017,22:00:00,341,MISDEMEANOR,2,40.647330127,-73.896999556
2/17/2017,11:00:00,351,MISDEMEANOR,2,40.7170221,-74.001823171
3/9/2017,17:30:00,341,MISDEMEANOR,2,40.76795511,-73.982362342
4/24/2017,22:52:00,344,MISDEMEANOR,2,40.579955498,-73.973221258
5/31/2017,9:30:00,341,MISDEMEANOR,2,40.718149504,-73.987234735
9/29/2017,20:00:00,110,FELONY,0,40.691831831,-73.922230597
7/15/2017,11:00:00,109,FELONY,0,40.763320339,-73.973717904
4/26/2017,11:45:00,344,MISDEMEANOR,2,40.71949965,-73.875921172
4/10/2017,19:30:00,578,VIOLATION,1,40.828493932,-73.90554671
2/18/2017,13:24:00,361,MISDEMEANOR,2,40.747571174,-73.874212344
3/2/2017,22:00:00,113,FELONY,0,40.625327369,-74.000422925
4/28/2017,2:30:00,341,MISDEMEANOR,2,40.872010543,-73.889315108
1/8/2017,6:15:00,341,MISDEMEANOR,2,40.720177792,-73.986455117
5/27/2017,5:04:00,344,MISDEMEANOR,2,40.648715246,-74.01025031
3/28/2017,17:30:00,348,MISDEMEANOR,2,40.679980738,-73.776233907
7/11/2017,8:15:00,121,FELONY,0,40.655737546,-73.934717497
4/15/2017,11:10:00,109,FELONY,0,40.648171571,-74.01236557
7/18/2017,22:46:00,236,MISDEMEANOR,2,40.800930373,-73.941098241
9/28/2017,19:35:00,235,MISDEMEANOR,2,40.805501602,-73.916477255
5/10/2017,11:50:00,236,MISDEMEANOR,2,40.679980738,-73.776233907
1/12/2017,15:41:00,341,MISDEMEANOR,2,40.842539396,-73.845271095
6/16/2017,20:40:00,341,MISDEMEANOR,2,40.665252772,-73.8961212
1/17/2017,12:30:00,578,VIOLATION,1,40.645715304,-73.963346451
7/27/2017,16:00:00,106,FELONY,0,40.703968961,-73.940206502
1/27/2017,15:31:00,341,MISDEMEANOR,2,40.795581553,-73.932297815
3/8/2017,19:00:00,351,MISDEMEANOR,2,40.830230703,-73.947685031
8/19/2017,1:25:00,105,FELONY,0,40.847489162,-73.922749825
8/17/2017,20:45:00,341,MISDEMEANOR,2,40.87018238,-73.894980315
4/23/2017,22:00:00,578,VIOLATION,1,40.704325286,-73.752632902
6/20/2017,18:55:00,109,FELONY,0,40.680203432,-73.955489395
6/16/2017,16:45:00,359,MISDEMEANOR,2,40.791151867,-73.884371919
6/23/2017,4:40:00,101,FELONY,0,40.663898236,-73.88058069
6/1/2016,0:01:00,351,MISDEMEANOR,2,40.604840222,-73.998625739
7/20/2017,21:35:00,344,MISDEMEANOR,2,40.686655742,-73.784706636
8/1/2017,11:55:00,578,VIOLATION,1,40.839602383,-73.939018466
6/10/2017,2:40:00,121,FELONY,0,40.63996998,-74.013881
5/26/2017,12:00:00,361,MISDEMEANOR,2,40.88428063,-73.84718108
4/16/2017,22:45:00,578,VIOLATION,1,40.683133338,-73.979165026
3/23/2017,16:00:00,121,FELONY,0,40.80907981,-73.911570786
2/10/2017,23:51:00,341,MISDEMEANOR,2,40.861808753,-73.911916427
1/27/2017,20:25:00,126,FELONY,0,40.690505869,-73.959005521
7/7/2017,10:08:00,361,MISDEMEANOR,2,40.675146162,-73.918003234
5/12/2017,18:40:00,351,MISDEMEANOR,2,40.741978592,-73.980860771
9/14/2017,2:30:00,361,MISDEMEANOR,2,40.598779574,-73.943541585
1/12/2017,19:20:00,348,MISDEMEANOR,2,40.701806261,-73.940547457
6/21/2017,12:10:00,109,FELONY,0,40.644950485,-73.921452835
5/9/2017,22:00:00,109,FELONY,0,40.707124005,-74.010677687
9/6/2017,23:00:00,344,MISDEMEANOR,2,40.748926573,-73.859524335
4/15/2017,20:55:00,113,FELONY,0,40.815379114,-73.904878907
4/29/2017,15:30:00,359,MISDEMEANOR,2,40.628633956,-74.110431854
5/18/2017,19:50:00,344,MISDEMEANOR,2,40.664552751,-73.890102711
3/13/2017,10:05:00,578,VIOLATION,1,40.666127689,-73.911756695
3/4/2017,8:00:00,578,VIOLATION,1,40.679478766,-73.973011846
1/13/2017,5:00:00,361,MISDEMEANOR,2,40.703363845,-73.928370066
9/30/2017,20:35:00,117,FELONY,0,40.756482343,-73.947266494
4/22/2017,13:40:00,107,FELONY,0,40.693686299,-73.956930051
8/9/2017,8:15:00,109,FELONY,0,40.767564513,-73.966264958
3/5/2017,8:00:00,351,MISDEMEANOR,2,40.677584695,-73.948385213
5/4/2017,22:54:00,117,FELONY,0,40.6340509,-74.022267295
7/14/2017,18:30:00,351,MISDEMEANOR,2,40.623188378,-74.149237695
4/29/2017,9:45:00,105,FELONY,0,40.835944157,-73.939921662
1/11/2017,21:45:00,341,MISDEMEANOR,2,40.885497121,-73.900445997
5/16/2017,10:00:00,341,MISDEMEANOR,2,40.560329033,-74.163770066
8/14/2017,5:40:00,341,MISDEMEANOR,2,40.770741681,-73.987379899
8/24/2017,17:44:00,235,MISDEMEANOR,2,40.809092626,-73.925854062
2/1/2017,10:00:00,578,VIOLATION,1,40.666778376,-73.92349981
7/24/2017,10:00:00,361,MISDEMEANOR,2,40.88584607,-73.845842979
8/24/2017,12:00:00,361,MISDEMEANOR,2,40.807281058,-73.967155121
1/13/2017,15:00:00,107,FELONY,0,40.605544227,-73.9601561
1/11/2017,16:30:00,361,MISDEMEANOR,2,40.822663919,-73.821777915
1/1/2017,2:10:00,578,VIOLATION,1,40.770064504,-73.933601782
8/27/2017,3:15:00,106,FELONY,0,40.654068545,-73.734294763
9/6/2017,18:00:00,109,FELONY,0,40.749790504,-73.802880435
2/18/2017,0:55:00,117,FELONY,0,40.577619067,-73.961443502
8/12/2017,21:25:00,235,MISDEMEANOR,2,40.575442769,-73.987794763
8/12/2017,12:10:00,341,MISDEMEANOR,2,40.715957117,-73.997353676
6/15/2017,3:55:00,341,MISDEMEANOR,2,40.772362338,-73.820757211
9/23/2017,7:50:00,361,MISDEMEANOR,2,40.754520947,-73.871780917
1/12/2017,8:00:00,341,MISDEMEANOR,2,40.641055984,-73.91065482
7/28/2017,14:20:00,344,MISDEMEANOR,2,40.723495085,-73.951647118
5/1/2017,1:30:00,105,FELONY,0,40.752700764,-73.973047152
8/2/2017,18:30:00,355,MISDEMEANOR,2,40.809596838,-73.949785598
1/4/2017,20:00:00,341,MISDEMEANOR,2,40.872596004,-73.825563635
5/4/2017,19:30:00,341,MISDEMEANOR,2,40.862305365,-73.868467608
12/16/2016,23:00:00,341,MISDEMEANOR,2,40.692042578,-73.794580591
9/15/2017,12:00:00,341,MISDEMEANOR,2,40.694023608,-73.851201654
5/7/2017,21:40:00,235,MISDEMEANOR,2,40.684477795,-73.879822713
8/31/2017,23:55:00,107,FELONY,0,40.771190771,-73.952060168
1/2/2017,23:30:00,105,FELONY,0,40.622905658,-73.986384796
5/26/2017,0:01:00,109,FELONY,0,40.773488819,-73.947375782
9/4/2017,20:30:00,341,MISDEMEANOR,2,40.666296501,-73.950837887
5/28/2017,23:15:00,105,FELONY,0,40.692489731,-73.795985574
3/30/2017,14:20:00,341,MISDEMEANOR,2,40.623226819,-74.149226973
1/14/2017,13:10:00,341,MISDEMEANOR,2,40.739882419,-73.986660411
6/1/2017,14:01:00,353,MISDEMEANOR,2,40.770480201,-73.875468774
8/13/2017,3:15:00,106,FELONY,0,40.830394244,-73.894027715
